Country,Federation
Algeria,CAF
Angola,CAF
Argentina,CONMEBOL
Australia,AFC
Austria,UEFA
Belgium,UEFA
Bolivia,CONMEBOL
Bosnia and Herzegovina,UEFA
Brazil,CONMEBOL
Bulgaria,UEFA
Cameroon,CAF
Canada,CONCACAF
Chile,CONMEBOL
China PR,AFC
Colombia,CONMEBOL
Costa Rica,CONCACAF
Croatia,UEFA
Cuba,CONCACAF
Czech Republic,UEFA
Czechoslovakia,UEFA
Denmark,UEFA
Dutch East Indies,CONCACAF
East Germany,UEFA
Ecuador,CONMEBOL
Egypt,CAF
El Salvador,CONCACAF
England,UEFA
France,UEFA
Germany,UEFA
Ghana,CAF
Greece,UEFA
Haiti,CONCACAF
Honduras,CONCACAF
Hungary,UEFA
Iceland,UEFA
Iran,AFC
Iraq,AFC
Ireland,UEFA
Israel,AFC
Italy,UEFA
Cote d'Ivoire,CAF
Ivory Coast,CAF
Jamaica,CONCACAF
Japan,AFC
Korea Republic,AFC
Korea DPR,AFC
Kuwait,AFC
Mexico,CONCACAF
Morocco,CAF
Netherlands,UEFA
New Zealand,OFC
Nigeria,CAF
North Korea,AFC
Northern Ireland,UEFA
Norway,UEFA
Panama,CONCACAF
Paraguay,CONMEBOL
Peru,CONMEBOL
Poland,UEFA
Portugal,UEFA
Republic of Ireland,UEFA
Romania,UEFA
Russia,UEFA
Saudi Arabia,AFC
Scotland,UEFA
Senegal,CAF
Serbia,UEFA
Serbia and Montenegro,UEFA
Slovakia,UEFA
Slovenia,UEFA
South Africa,CAF
South Korea,AFC
Soviet Union,UEFA
Spain,UEFA
Sweden,UEFA
Switzerland,UEFA
Togo,CAF
Trinidad and Tobago,CONCACAF
Tunisia,CAF
Turkey,UEFA
Ukraine,UEFA
United Arab Emirates,AFC
Uruguay,CONMEBOL
USA,CONCACAF
Wales,UEFA
West Germany,UEFA
Yugoslavia,UEFA
Zaire,CAF
IR Iran,AFC
Germany FR,UEFA
German DR,UEFA
Germany DR,UEFA
